date,location,BOD_mg_L,COD_mg_L,DO_mg_L,pH,Fecal_Coliform_MPN
2019-01-31,Palla,3.5,20,6.5,7.8,500
2019-02-28,Palla,3.8,22,6.2,7.9,550
2019-03-31,Palla,3.2,18,6.8,7.7,480
2019-04-30,Palla,3.6,21,6.4,7.8,520
2019-05-31,Palla,4.0,24,6.0,7.9,580
2019-06-30,Palla,3.5,20,6.5,7.8,500
2019-07-31,Palla,3.8,22,6.2,7.9,550
2019-08-31,Palla,3.2,18,6.8,7.7,480
2019-09-30,Palla,3.6,21,6.4,7.8,520
2019-10-31,Palla,4.0,24,6.0,7.9,580
2019-11-30,Palla,3.5,20,6.5,7.8,500
2019-12-31,Palla,3.8,22,6.2,7.9,550
2020-01-31,Palla,3.2,18,6.8,7.7,480
2020-02-29,Palla,3.6,21,6.4,7.8,520
2020-03-31,Palla,4.0,24,6.0,7.9,580
2020-04-30,Palla,3.5,20,6.5,7.8,500
2020-05-31,Palla,3.8,22,6.2,7.9,550
2020-06-30,Palla,3.2,18,6.8,7.7,480
2020-07-31,Palla,3.6,21,6.4,7.8,520
2020-08-31,Palla,4.0,24,6.0,7.9,580
2020-09-30,Palla,3.5,20,6.5,7.8,500
2020-10-31,Palla,3.8,22,6.2,7.9,550
2020-11-30,Palla,3.2,18,6.8,7.7,480
2020-12-31,Palla,3.6,21,6.4,7.8,520
2021-01-31,Palla,4.0,24,6.0,7.9,580
2021-02-28,Palla,3.5,20,6.5,7.8,500
2021-03-31,Palla,3.8,22,6.2,7.9,550
2021-04-30,Palla,3.2,18,6.8,7.7,480
2021-05-31,Palla,3.6,21,6.4,7.8,520
2021-06-30,Palla,4.0,24,6.0,7.9,580
2021-07-31,Palla,3.5,20,6.5,7.8,500
2021-08-31,Palla,3.8,22,6.2,7.9,550
2021-09-30,Palla,3.2,18,6.8,7.7,480
2021-10-31,Palla,3.6,21,6.4,7.8,520
2021-11-30,Palla,4.0,24,6.0,7.9,580
2021-12-31,Palla,3.5,20,6.5,7.8,500
2022-01-31,Palla,3.8,22,6.2,7.9,550
2022-02-28,Palla,3.2,18,6.8,7.7,480
2022-03-31,Palla,3.6,21,6.4,7.8,520
2022-04-30,Palla,4.0,24,6.0,7.9,580
2022-05-31,Palla,3.5,20,6.5,7.8,500
2022-06-30,Palla,3.8,22,6.2,7.9,550
2022-07-31,Palla,3.2,18,6.8,7.7,480
2022-08-31,Palla,3.6,21,6.4,7.8,520
2022-09-30,Palla,4.0,24,6.0,7.9,580
2022-10-31,Palla,3.5,20,6.5,7.8,500
2022-11-30,Palla,3.8,22,6.2,7.9,550
2022-12-31,Palla,3.2,18,6.8,7.7,480
2023-01-31,Palla,3.6,21,6.4,7.8,520
2023-02-28,Palla,4.0,24,6.0,7.9,580
2023-03-31,Palla,3.5,20,6.5,7.8,500
2023-04-30,Palla,3.8,22,6.2,7.9,550
2023-05-31,Palla,3.2,18,6.8,7.7,480
2023-06-30,Palla,3.6,21,6.4,7.8,520
2023-07-31,Palla,4.0,24,6.0,7.9,580
2023-08-31,Palla,3.5,20,6.5,7.8,500
2023-09-30,Palla,3.8,22,6.2,7.9,550
2023-10-31,Palla,3.2,18,6.8,7.7,480
2023-11-30,Palla,3.6,21,6.4,7.8,520
2023-12-31,Palla,4.0,24,6.0,7.9,580
